,Accident.Number,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
63298,NYC07LA208A,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63299,MIA07CA139,Non-Fatal,Substantial,Airplane,Trinidad,TB-20,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63302,CHI07CA292,Non-Fatal,Substantial,Airplane,Maule,M5-210C,No,1.0,Reciprocating,0.0,0.0,0.0,4.0
63303,NYC07LA210,Fatal(1),Destroyed,Airplane,Cessna,150J,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63306,NYC07CA213,Non-Fatal,Substantial,Airplane,Piper,PA-34-200T,No,2.0,Reciprocating,0.0,0.0,0.0,3.0
63307,NYC07CA211,Non-Fatal,Substantial,Airplane,Aeronca,O-58B,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
63309,LAX07CA265,Non-Fatal,Substantial,Airplane,Cessna,182P,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63310,LAX07CA264,Non-Fatal,Substantial,Airplane,Aeronca,S15AC,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
63312,CHI07FA286,Fatal(2),Substantial,Airplane,Yakovlev,Yak 52,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
63315,SEA07FA277,Fatal(1),Destroyed,Airplane,Bellanca,8KCAB-180,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
63317,LAX07CA266,Non-Fatal,Destroyed,Airplane,American Air Racing,Thunder Mustang,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
63320,NYC07CA216,Non-Fatal,Substantial,Airplane,Piper,PA28-161,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63323,MIA07LA140,Non-Fatal,Substantial,Airplane,Cessna,208B,No,1.0,Turbo Prop,0.0,0.0,0.0,1.0
63324,DEN07CA153,Non-Fatal,Substantial,Airplane,Jones,Challenger II,Yes,1.0,Reciprocating,0.0,0.0,1.0,0.0
63325,CHI07CA294,Non-Fatal,Substantial,Airplane,Cessna,172M,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63326,NYC07LA221,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,0.0,0.0,0.0,1.0
63327,MIA07CA142,Non-Fatal,Substantial,Airplane,Furey,Kitfox IV,Yes,1.0,Reciprocating,0.0,0.0,1.0,0.0
63328,ANC07CA098,Non-Fatal,Substantial,Airplane,Piper/cub Crafters,PA-18,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63329,NYC07FA217,Fatal(3),Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,3.0,0.0,0.0,0.0
63332,NYC07CA218,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
