,Accident.Number,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
5,NYC79AA106,Non-Fatal,Substantial,Airplane,Mcdonnell Douglas,DC9,No,2.0,Turbo Fan,0.0,0.0,1.0,44.0
7,SEA82DA022,Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
8,NYC82DA015,Non-Fatal,Substantial,Airplane,Cessna,401B,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
12,FTW82FRJ07,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
13,FTW82FRA14,Fatal(1),Destroyed,Airplane,Cessna,R172K,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
14,FTW82FPJ10,Fatal(1),Destroyed,Airplane,Navion,A,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
15,FTW82FPG08,Fatal(2),Destroyed,Airplane,Beech,19,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
17,ANC82FAG14,Fatal(3),Destroyed,Airplane,Cessna,180,No,1.0,Reciprocating,3.0,0.0,0.0,0.0
18,NYC82DA016,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
20,CHI82FEC08,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
21,CHI82DA020,Non-Fatal,Substantial,Airplane,Cessna,150L,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
23,LAX82IA034,Incident,Minor,Airplane,Piper,PA-24-180,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
24,LAX82FA040,Fatal(2),Destroyed,Airplane,Grumman,AA-5B,No,1.0,Reciprocating,2.0,1.0,0.0,0.0
25,DCA82AA008,Fatal(8),Destroyed,Airplane,Cessna,414A,No,2.0,Reciprocating,8.0,0.0,0.0,0.0
26,ATL82FA033,Fatal(1),Destroyed,Airplane,Beechcraft,BE-58,No,2.0,Reciprocating,1.0,0.0,0.0,0.0
27,NYC82DA018,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
28,MIA82DA030,Non-Fatal,Substantial,Airplane,Cessna,210L,No,1.0,Reciprocating,0.0,0.0,1.0,1.0
29,LAX82DA035,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,0.0,0.0,2.0,0.0
30,FTW82DA036,Non-Fatal,Substantial,Airplane,Cessna,182,No,1.0,Reciprocating,0.0,0.0,2.0,0.0
31,DEN82DTI09,Non-Fatal,Substantial,Airplane,Air Tractor,AT-301,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
32,SEA82FA015,Fatal(4),Destroyed,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,4.0,0.0,0.0,0.0
33,LAX82FA038,Fatal(2),Destroyed,Airplane,Piper,PA-34-200T,No,2.0,Reciprocating,2.0,0.0,0.0,0.0
34,CHI82FA019,Fatal(2),Destroyed,Airplane,Cessna,T337G,No,2.0,Reciprocating,2.0,2.0,0.0,0.0
35,FTW82DA035,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,0.0,0.0,2.0,0.0
36,MIA82FKA05,Fatal(1),Destroyed,Airplane,Cessna,206,No,1.0,Reciprocating,1.0,0.0,1.0,0.0
37,LAX82FUM06,Fatal(3),Destroyed,Airplane,Navion,A,No,1.0,Reciprocating,3.0,0.0,0.0,0.0
38,LAX82FA036,Fatal(1),Destroyed,Airplane,Piper,PA-22,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
39,DCA82AA009,Fatal(2),Destroyed,Airplane,Piper,PA-31,No,2.0,Reciprocating,2.0,0.0,0.0,0.0
40,ATL82IA029,Incident,Minor,Airplane,Rockwell,114,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
41,FTW82DA037,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,0.0,1.0,0.0,1.0
42,ATL82DA028,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
43,LAX82DA037,Non-Fatal,Substantial,Airplane,Cessna,TR182,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
44,ANC82FA012,Non-Fatal,Substantial,Airplane,Cessna,A185F,No,1.0,Reciprocating,0.0,2.0,0.0,0.0
45,MKC82DA016,Non-Fatal,Substantial,Airplane,Cessna,340,Yes,2.0,Reciprocating,0.0,0.0,0.0,3.0
47,DEN82DA015,Non-Fatal,Substantial,Airplane,Beech,35,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
48,CHI82DA021,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
49,ATL82FLG08,Non-Fatal,Substantial,Airplane,Mooney,M-20J,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
50,LAX82DVA10,Non-Fatal,Substantial,Airplane,Boeing,A75,No,1.0,Reciprocating,0.0,1.0,0.0,1.0
51,DEN82FA016,Fatal(2),Destroyed,Airplane,Cessna,210,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
52,ATL82DA031,Non-Fatal,Substantial,Airplane,Beech,V35,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
53,FTW82FRG20,Non-Fatal,Substantial,Airplane,Curtis,C46,No,2.0,Reciprocating,0.0,0.0,0.0,3.0
54,MIA82FLD14,Fatal(1),Destroyed,Airplane,Cessna,172M,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
55,CHI82FA024,Fatal(1),Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,1.0,1.0,0.0,0.0
56,SEA82DA016,Non-Fatal,Substantial,Airplane,Cessna,TU206G,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
57,NYC82DA019,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
58,MKC82DA026,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
59,CHI82DA023,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
60,CHI82DA022,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
61,ATL82DLG09,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
63,LAX82DVG12,Non-Fatal,Substantial,Airplane,Cessna,P210N,No,1.0,Reciprocating,0.0,1.0,0.0,3.0
64,FTW82DA039,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
65,FTW82DA038,Non-Fatal,Substantial,Airplane,Piper,PA-34,No,2.0,Reciprocating,0.0,0.0,0.0,3.0
66,LAX82FJA03,Non-Fatal,Substantial,Airplane,Cessna,305 (L-19),No,1.0,Reciprocating,0.0,0.0,0.0,2.0
67,DEN82FTE15,Non-Fatal,Substantial,Airplane,Cessna,182A,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
68,MIA82DA032,Non-Fatal,Destroyed,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,0.0,2.0,0.0,0.0
69,LAX82DA041,Non-Fatal,Destroyed,Airplane,Cessna,172N,No,1.0,Reciprocating,0.0,0.0,0.0,4.0
70,CHI82FA025,Non-Fatal,Destroyed,Airplane,Piper,23-250,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
71,ATL82FA032,Fatal(1),Destroyed,Airplane,Mooney,M20G,No,1.0,Reciprocating,1.0,1.0,0.0,0.0
72,LAX82FUQ07,Non-Fatal,Substantial,Airplane,Cessna,TU206F,No,1.0,Reciprocating,0.0,0.0,4.0,0.0
73,LAX82FUG05,Non-Fatal,Substantial,Airplane,Quickie,1,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
74,ANC82DA013,Non-Fatal,Substantial,Airplane,Cessna,U206,No,1.0,Reciprocating,0.0,0.0,3.0,0.0
75,DEN82FTI10,Non-Fatal,Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,0.0,1.0,1.0,0.0
76,DEN82FA017,Fatal(4),Destroyed,Airplane,Cessna,210N,No,1.0,Reciprocating,4.0,1.0,1.0,0.0
77,DEN82FTE16,Non-Fatal,Substantial,Airplane,Cessna,180,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
78,ATL82DKJ09,Non-Fatal,Substantial,Airplane,Cessna,310L,No,2.0,Reciprocating,0.0,0.0,0.0,1.0
80,ATL82IA034,Incident,Minor,Airplane,Embraer,EMB-110P1,No,2.0,Turbo Prop,0.0,0.0,0.0,2.0
81,ATL82FKQ09,Non-Fatal,Destroyed,Airplane,Cessna,414,No,2.0,Reciprocating,0.0,0.0,3.0,0.0
82,FTW82FPA10,Non-Fatal,Substantial,Airplane,Beech,P35,No,1.0,Reciprocating,0.0,1.0,0.0,1.0
83,MIA82DA033,Non-Fatal,Destroyed,Airplane,Grumman,AA5B,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
85,FTW82FPJ11,Non-Fatal,Substantial,Airplane,Piper,PA-28R-201T,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
86,FTW82DA040,Non-Fatal,Substantial,Airplane,Beech,A23-24,No,1.0,Reciprocating,0.0,0.0,0.0,4.0
87,SEA82DA017,Non-Fatal,Substantial,Airplane,Piper,PA-31-350,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
88,DEN82FA018,Fatal(3),Destroyed,Airplane,Cessna,T210N,No,1.0,Reciprocating,3.0,0.0,0.0,0.0
90,MIA82DKJ03,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
92,SEA82DA018,Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
93,NYC82FA021,Non-Fatal,Substantial,Airplane,Swearingen,SA 226-TC,No,2.0,Turbo Prop,0.0,1.0,2.0,12.0
94,CHI82DA027,Non-Fatal,Substantial,Airplane,Beech,C-45H,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
95,ANC82DA015,Non-Fatal,Substantial,Airplane,De Havilland,DHC-2-MK3,No,1.0,Turbo Prop,0.0,0.0,0.0,4.0
97,NYC82DA023,Non-Fatal,Substantial,Airplane,Cessna,150M,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
98,LAX82FVG14,Fatal(1),Destroyed,Airplane,Cessna,150M,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
99,LAX82FUQ08,Fatal(1),Destroyed,Airplane,Bede Aircraft,BD-5B,Yes,1.0,Reciprocating,1.0,0.0,0.0,0.0
100,LAX82FUJ24,Non-Fatal,Destroyed,Airplane,Cessna,182P,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
101,LAX82DA042,Non-Fatal,Destroyed,Airplane,Convair,440,No,2.0,Reciprocating,0.0,0.0,2.0,1.0
102,FTW82FRG21,Fatal(1),Destroyed,Airplane,Piper,PA-31,No,2.0,Reciprocating,1.0,0.0,0.0,0.0
103,DEN82FA020,Non-Fatal,Destroyed,Airplane,Piper,PA-31T,No,2.0,Turbo Prop,0.0,0.0,3.0,0.0
104,ATL82FA035,Fatal(2),Destroyed,Airplane,Beech,F50,No,2.0,Reciprocating,2.0,0.0,0.0,0.0
105,ANC82DA014,Non-Fatal,Destroyed,Airplane,Cessna,150,No,1.0,Reciprocating,0.0,0.0,1.0,1.0
106,DEN82DA019,Non-Fatal,Substantial,Airplane,Cessna,180E,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
107,ANC82DAG15,Non-Fatal,Substantial,Airplane,Cessna,170B,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
109,SEA82FYM08,Non-Fatal,Destroyed,Airplane,Beech,C23,No,1.0,Reciprocating,0.0,2.0,2.0,0.0
110,LAX82FA047,Fatal(1),Destroyed,Airplane,Cessna,172M,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
111,ATL82FA039,Fatal(3),Destroyed,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,3.0,0.0,0.0,0.0
112,FTW82DA045,Non-Fatal,Substantial,Airplane,Cessna,180K,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
113,ATL82FA037,Fatal(4),Substantial,Airplane,Cessna,210L,No,1.0,Reciprocating,4.0,0.0,0.0,0.0
114,MKC82FCQ08,Fatal(1),Destroyed,Airplane,Mooney,M20F,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
115,FTW82FPJ12,Fatal(2),Destroyed,Airplane,Beech,G35,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
116,DEN82FTA09,Fatal(1),Destroyed,Airplane,Cessna,177B,No,1.0,Reciprocating,1.0,2.0,0.0,0.0
117,DCA82AA012B,Fatal(3),Destroyed,Airplane,Grumman,AA5A,No,1.0,Reciprocating,3.0,0.0,0.0,0.0
118,DCA82AA012A,Fatal(3),Destroyed,Airplane,Swearingen,SA226-T(B),No,2.0,Turbo Prop,3.0,0.0,0.0,0.0
119,ATL82IA038,Incident,Minor,Airplane,De Havilland,DHC-6-300,No,2.0,Turbo Prop,0.0,0.0,0.0,1.0
120,NYC82DA026,Non-Fatal,Substantial,Airplane,Piper,AEROSTAR 601P,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
121,NYC82DA024,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
122,MKC82DA018,Non-Fatal,Substantial,Airplane,Cessna,182P,No,1.0,Reciprocating,0.0,0.0,1.0,1.0
123,MKC82DA017,Non-Fatal,Substantial,Airplane,Cessna,177RG,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
124,LAX82FUJ26,Non-Fatal,Substantial,Airplane,Beachner,QUICK SILVER,Yes,1.0,Reciprocating,0.0,0.0,1.0,0.0
125,LAX82DA043,Non-Fatal,Substantial,Airplane,Cessna,182E,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
126,FTW82DA042,Non-Fatal,Substantial,Airplane,Cessna,150H,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
127,CHI82DA056,Non-Fatal,Substantial,Airplane,Cessna,340A,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
128,CHI82DA028,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
129,MIA82FA034,Non-Fatal,Substantial,Airplane,Canadair,CL-44D4,No,4.0,Turbo Prop,0.0,0.0,0.0,6.0
130,ANC82DA019,Non-Fatal,Substantial,Airplane,Piper,PA-32,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
131,LAX82IA044,Incident,Minor,Airplane,Piper,PA-31-350,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
132,LAX82FA048,Fatal(2),Destroyed,Airplane,Beech,58,No,2.0,Reciprocating,2.0,0.0,0.0,0.0
133,LAX82FA045,Fatal(3),Destroyed,Airplane,Cessna,182N,No,1.0,Reciprocating,3.0,0.0,0.0,0.0
134,ATL82FKQ10,Fatal(1),Destroyed,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,1.0,0.0,0.0,0.0
135,MIA82FA035,Fatal(1),Substantial,Airplane,Cessna,210,No,1.0,Reciprocating,1.0,0.0,0.0,1.0
136,FTW82DA044,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
138,SEA82FA032,Fatal(4),Destroyed,Airplane,Cessna,P210N,No,1.0,Reciprocating,4.0,0.0,0.0,0.0
139,MKC82FA019,Fatal(1),Destroyed,Airplane,Cessna,402A,No,2.0,Reciprocating,1.0,0.0,0.0,0.0
140,MIA82FA037,Non-Fatal,Destroyed,Airplane,Douglas,DC-3,No,2.0,Reciprocating,0.0,0.0,2.0,0.0
141,LAX82FUJ25,Non-Fatal,Destroyed,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,0.0,1.0,2.0,0.0
142,LAX82FA050,Fatal(1),Destroyed,Airplane,Piper,PA-28-235,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
143,ATL82FLT02,Fatal(1),Destroyed,Airplane,Grumman,AA-1,Yes,1.0,Reciprocating,1.0,0.0,0.0,0.0
144,ATL82FKJ11,Non-Fatal,Destroyed,Airplane,Piper,PA-32,No,1.0,Reciprocating,0.0,1.0,3.0,0.0
145,ANC82DA016,Non-Fatal,Destroyed,Airplane,Cessna,207,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
146,CHI82DA029,Non-Fatal,Substantial,Airplane,Mooney,M-20,Yes,1.0,Reciprocating,0.0,0.0,0.0,4.0
147,LAX82DA046,Non-Fatal,Substantial,Airplane,Air Tractor,301,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
148,LAX82FUQ09,Fatal(2),Destroyed,Airplane,Sons Mustang,II,Yes,1.0,Reciprocating,2.0,0.0,0.0,0.0
150,LAX82DA060,Non-Fatal,Substantial,Airplane,Cessna,172M,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
152,SEA82FYK07,Fatal(1),Destroyed,Airplane,Cessna,172,No,1.0,Reciprocating,1.0,1.0,0.0,0.0
153,LAX82FA049A,Fatal(2),Destroyed,Airplane,Mooney,M20C,No,1.0,Reciprocating,2.0,0.0,4.0,0.0
154,FTW82DA047,Non-Fatal,Destroyed,Airplane,Grumman,G-164A,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
155,DCA82AA013,Fatal(2),Destroyed,Airplane,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,2.0,4.0,24.0,182.0
156,CHI82FA032,Fatal(1),Destroyed,Airplane,Beech,A23A,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
157,MKC82DA020,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
158,MIA82FA038B,Non-Fatal,Substantial,Airplane,Cessna,150M,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
159,MIA82FA038A,Non-Fatal,Substantial,Airplane,Piper,PA-34-200T,No,2.0,Reciprocating,0.0,0.0,0.0,3.0
160,LAX82FA049B,Fatal(2),Substantial,Airplane,Piper,PA-28-235,No,1.0,Reciprocating,2.0,0.0,4.0,0.0
161,FTW82FPD08,Non-Fatal,Substantial,Airplane,Cessna,150H,No,1.0,Reciprocating,0.0,1.0,0.0,0.0
164,FTW82DA049,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,0.0,0.0,1.0,1.0
165,FTW82AA046,Fatal(7),Destroyed,Airplane,Robertson,C-402B,No,2.0,Reciprocating,7.0,0.0,0.0,0.0
166,NYC82FNA10,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,2.0,0.0
167,LAX82DA052,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,4.0
168,CHI82FEE12,Non-Fatal,Substantial,Airplane,Cessna,172RG,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
169,ATL82DA040,Non-Fatal,Substantial,Airplane,Cessna,177,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
170,ANC82DAG16,Fatal(2),Destroyed,Airplane,Cessna,182M,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
171,ANC82FA017,Non-Fatal,Substantial,Airplane,Cessna,152II,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
172,FTW82FPM09,Non-Fatal,Destroyed,Airplane,Cessna,A188B,No,1.0,Reciprocating,0.0,1.0,0.0,0.0
173,NYC82DA020,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
174,MKC82DA025,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
175,MKC82DA021,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
176,DEN82DA023,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
179,NYC82DA027,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
180,LAX82DA053,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
181,DEN82DA031,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
182,CHI82DA031,Non-Fatal,Substantial,Airplane,Aeronca,7BCM,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
183,ATL82FID05,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
184,LAX82FVM09,Fatal(1),Destroyed,Airplane,Piper,28-151,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
185,SEA82DA021,Non-Fatal,Substantial,Airplane,Cessna,340A,No,2.0,Reciprocating,0.0,0.0,0.0,2.0
186,MKC82DA022,Non-Fatal,Substantial,Airplane,Cessna,172H,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
187,LAX82DA054,Non-Fatal,Substantial,Airplane,Mooney,M20C,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
188,FTW82DA048,Non-Fatal,Substantial,Airplane,Cessna,A185F,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
189,ATL82DA043,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
190,MKC82FA023,Fatal(1),Destroyed,Airplane,Cessna,172N,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
192,ATL82FLG10,Fatal(1),Destroyed,Airplane,Cessna,150,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
193,DEN82DA025,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
194,LAX82IA062,Incident,Minor,Airplane,Piper,PA-28R-201T,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
195,LAX82DA055,Non-Fatal,Destroyed,Airplane,Mooney,M20J,No,1.0,Reciprocating,0.0,0.0,0.0,4.0
196,LAX82FVA11,Fatal(1),Substantial,Airplane,Cessna,TR182,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
197,LAX82DVG15,Non-Fatal,Substantial,Airplane,Aeronca,7AC,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
198,LAX82DA057,Non-Fatal,Substantial,Airplane,Cessna,177B,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
199,LAX82DA056,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
200,FTW82DA050,Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
201,DEN82DA026,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
202,ATL82DA045,Non-Fatal,Substantial,Airplane,Cessna,182L,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
203,ATL82DA044,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
204,SEA82DA023,Non-Fatal,Substantial,Airplane,Cessna,172P,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
205,NYC82FFA03,Non-Fatal,Substantial,Airplane,Piper,PA-22,No,1.0,Reciprocating,0.0,0.0,1.0,1.0
206,NYC82DA017,Non-Fatal,Substantial,Airplane,Cessna,150L,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
207,MKC82DA024,Non-Fatal,Substantial,Airplane,Beech,36,No,1.0,Reciprocating,0.0,1.0,0.0,1.0
208,MIA82DA040,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,1.0,0.0
209,MIA82DA039,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
210,LAX82DA058,Non-Fatal,Substantial,Airplane,Cessna,180K,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
211,FTW82DA052,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
212,FTW82DA051,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
213,DEN82DA027,Non-Fatal,Substantial,Airplane,Piper,PA-22,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
214,NYC82AA028,Non-Fatal,Destroyed,Airplane,Beech,99,No,2.0,Turbo Prop,0.0,5.0,2.0,0.0
215,MIA82FLD13,Non-Fatal,Destroyed,Airplane,Cessna,172,No,1.0,Reciprocating,0.0,1.0,1.0,0.0
217,FTW82FQG14,Fatal(2),Destroyed,Airplane,Cessna,182,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
218,LAX82FVD09,Non-Fatal,Substantial,Airplane,Bellanca,7ECA,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
219,LAX82DA059,Non-Fatal,Substantial,Airplane,Cessna,TR182,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
220,FTW82DA053,Non-Fatal,Substantial,Airplane,Cessna,P206,No,1.0,Reciprocating,0.0,0.0,0.0,3.0
221,CHI82DA033,Non-Fatal,Substantial,Airplane,Grumman,1159,No,2.0,Turbo Jet,0.0,0.0,0.0,4.0
222,DEN82DA028,Non-Fatal,Substantial,Airplane,Piper,PA-32,No,1.0,Reciprocating,0.0,1.0,0.0,0.0
223,NYC82FA029,Fatal(1),Destroyed,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,1.0,0.0,0.0,0.0
224,FTW82FRD08,Fatal(2),Destroyed,Airplane,Cessna,150G,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
225,SEA82DA024,Non-Fatal,Substantial,Airplane,Cessna,U206G,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
226,FTW82DA054,Non-Fatal,Substantial,Airplane,Cessna,T210N,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
227,DEN82DTM10,Non-Fatal,Substantial,Airplane,Smith Miniplane,BK-1,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0
228,LAX82FUJ27,Fatal(1),Destroyed,Airplane,Mooney,M20J,No,1.0,Reciprocating,1.0,0.0,0.0,0.0
229,DEN82DA029,Non-Fatal,Destroyed,Airplane,Mitsubishi,MU2B-40,No,2.0,Turbo Prop,0.0,0.0,6.0,0.0
230,DCA82AA014,Non-Fatal,Minor,Airplane,Mcdonnell-douglas,DC-10-10,No,3.0,Turbo Fan,0.0,1.0,0.0,154.0
231,SEA82DA025,Non-Fatal,Substantial,Airplane,Cessna,150J,No,1.0,Reciprocating,0.0,0.0,0.0,2.0
232,LAX82DVM10,Non-Fatal,Substantial,Airplane,Taylorcraft,F19,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
234,NYC82FHD06,Non-Fatal,Substantial,Airplane,Ted Smith,AEROSTAR 600,No,2.0,Reciprocating,0.0,0.0,0.0,1.0
236,SEA82DA026,Non-Fatal,Substantial,Airplane,Bellanca,7KCAB,No,1.0,Reciprocating,0.0,0.0,0.0,1.0
238,MIA82DA050,Fatal(2),Destroyed,Airplane,Piper,PA-28,No,1.0,Reciprocating,2.0,0.0,0.0,0.0
239,ATL82FA047,Fatal(4),Destroyed,Airplane,Piper,PA-32R-300,No,1.0,Reciprocating,4.0,0.0,0.0,0.0
