,Accident.Number,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
67763,DCA10CA032,Non-Fatal,Minor,Airplane,Boeing,747,No,4.0,Turbo Fan,0.0,25.0,1.0,236.0
68104,DCA10WA055,Non-Fatal,Minor,Airplane,Boeing,747-300 SERIES,No,4.0,Turbo Jet,0.0,0.0,0.0,3.0
68118,DCA10WA056,Non-Fatal,Minor,Airplane,Boeing,747-422,No,4.0,Turbo Fan,0.0,0.0,0.0,246.0
68169,DCA10CA061,Non-Fatal,Substantial,Airplane,Boeing,747,No,4.0,Turbo Fan,0.0,0.0,0.0,3.0
69006,DCA10WA098,Non-Fatal,Minor,Airplane,Mcdonnell-douglas,MD-11F,No,3.0,Turbo Fan,0.0,0.0,0.0,2.0
69842,DCA11LA045,Non-Fatal,Substantial,Airplane,Airbus,A380,No,4.0,Turbo Fan,0.0,0.0,0.0,576.0
70018,DCA11PA075,Non-Fatal,Substantial,Airplane,Boeing,707-321B,No,4.0,Turbo Fan,0.0,3.0,0.0,0.0
71033,ENG12IA003,Non-Fatal,Minor,Airplane,Boeing,747-451,No,4.0,Turbo Jet,0.0,0.0,0.0,394.0
71944,DCA12CA082,Non-Fatal,Minor,Airplane,Boeing,747,No,4.0,Turbo Fan,0.0,0.0,0.0,24.0
71963,WPR12GA243,Fatal,Substantial,Airplane,Lockheed,P2V-7,No,4.0,Turbo Jet,2.0,0.0,0.0,0.0
73156,DCA13CA035,Non-Fatal,Substantial,Airplane,Mcdonnell-douglas,MD-11F,No,3.0,Turbo Fan,0.0,0.0,0.0,3.0
73222,DCA13LA039,Non-Fatal,Minor,Airplane,Airbus,A340 - 300,No,4.0,Turbo Fan,0.0,0.0,0.0,397.0
73356,ENG13IA016,Non-Fatal,Minor,Airplane,Boeing,747,No,4.0,Turbo Fan,0.0,0.0,0.0,3.0
73577,DCA13WA080,Non-Fatal,Minor,Airplane,Boeing,747-400,No,4.0,Turbo Fan,0.0,0.0,0.0,146.0
73614,DCA13MA081,Fatal,Destroyed,Airplane,Boeing,747-400 BCF,No,4.0,Turbo Jet,7.0,0.0,0.0,0.0
73729,ENG13IA027,Non-Fatal,Minor,Airplane,Boeing,747,No,4.0,Turbo Fan,0.0,0.0,0.0,3.0
76893,ERA15IA198,Non-Fatal,Minor,Airplane,Dassault-breguet,MYSTERE FALCON 900,No,3.0,Turbo Fan,0.0,0.0,0.0,15.0
77825,ENG16IA001,Non-Fatal,Minor,Airplane,Boeing,747,No,4.0,Turbo Fan,0.0,0.0,0.0,367.0
78308,DCA16LA096,Non-Fatal,Substantial,Airplane,Lockheed,382G,No,4.0,Turbo Prop,0.0,0.0,0.0,5.0
79690,DCA17MA022,Non-Fatal,Substantial,Airplane,Mcdonnell-douglas,MD 10-10F,No,3.0,Turbo Fan,0.0,0.0,0.0,2.0
81117,ENG17WA034,Non-Fatal,Substantial,Airplane,Boeing,747,No,4.0,Turbo Fan,0.0,0.0,0.0,6.0
83173,ERA18FA264,Fatal,Substantial,Airplane,Dassault-breguet,FALCON 50,No,3.0,Turbo Fan,2.0,0.0,2.0,0.0
83654,DCA19LA070,Non-Fatal,Substantial,Airplane,Boeing,727 200,No,3.0,Turbo Fan,0.0,0.0,0.0,4.0
